"glytoucan_ac","glytoucan_type","glycan_mass","glycan_permass","base_composition","composition","topology","monosaccharides","is_motif"
"G82407GB","Topology","1446.54951986","1782.92512154","G64876LY","G94201BI","G82407GB","8","False"
"G82408LA","Composition","1404.50256965","1754.8938214","G49155EM","G82408LA","","7","False"
"G82410AF","Saccharide","4120.46511582","5101.56062072","G53751GY","G95266RC","G68164FU","21","False"
"G82413XV","Saccharide","4116.54297221","5041.57587683","G57385VB","G46219PE","G77947DZ","23","False"
"G82417CI","Saccharide","2879.01061863","3579.79312213","G98715EM","G58318SA","G69006EQ","14","False"
"G82420AC","Saccharide","2071.78255231","2548.31465468","G67367OT","G97684YT","G59231RR","11","False"
"G82420RX","Topology","1185.42828241","1479.75693389","G97887RK","G61504NV","G82420RX","6","False"
"G82420SH","Saccharide","1786.65008149","2221.13523366","G83555HU","G01924ZE","G27658AJ","10","False"
"G82430BO","Topology","2283.86092191","2830.47127464","","G77277NN","G82430BO","13","False"
"G82431QJ","Topology","312.105647","410.21519749","G25325JY","G80636IF","G82431QJ","2","False"
"G82437NT","Topology","828.2317715","1010.43522241","G66863RH","G44967LM","G82437NT","4","False"
"G82440PA","Saccharide","910.32778041","1148.5938316","G28681TP","G68986OJ","G21506YR","5","False"
"G82443XX","Composition","3228.14790011","3999.00865396","G91115CE","G82443XX","","16","False"
"G82449QS","Saccharide","1509.53392942","1887.9564813","G40309AV","G87346MV","","8","False"
"G82449VP","Composition","344.13186177","470.2727124","","G82449VP","","2","False"
"G82455MC","Saccharide","383.142760805","495.267961365","G43417UB","G23052ZQ","G74696VO","2","False"
"G82455WQ","Saccharide","504.1690352","658.34118597","G39365VM","G86570NJ","G59254WN","3","False"
"G82458BB","Saccharide","1681.61872173","2088.07257376","G72790NZ","G47406YI","G09206KH","9","False"
"G82458HY","BaseComposition","675.258578545","843.446379385","G82458HY","","","4","False"
"G82463EY","Topology","3340.17517751","4139.06723149","G58166FL","G89265JH","G82463EY","15","False"
"G82463GQ","Composition","1728.60821665","2163.09336882","G68190MT","G82463GQ","","9","False"
"G82466NI","Saccharide","3044.09949331","3772.91329695","G84664JR","G45533LY","G66290EU","17","False"
"G82487CR","Saccharide","2953.0473981","3667.84555167","G27898DM","G88089PY","G36189TM","15","False"
"G82491NO","Composition","1492.51861368","1870.94116557","G05194RK","G82491NO","","7","False"
"G82493BQ","Topology","504.1690352","658.34118597","G39365VM","G86570NJ","G82493BQ","3","False"
"G82494YZ","Composition","2321.85141983","2868.46177257","G09019XB","G82494YZ","","12","False"
"G82496QL","Topology","1841.61817231","2332.16592476","G04681UD","G88312OR","G82496QL","11","False"
"G82509CX","Composition","179.079372605","263.173273025","G99055MR","G82509CX","","1","False"
"G82512PT","Saccharide","1478.53934912","1842.94625094","G72787SB","G75216TK","G26592TP","8","False"
"G82513QY","Saccharide","633.211628335","815.415079245","G62055US","G66150FA","G04256AW","3","False"
"G82514MH","Saccharide","1915.69267463","2378.20912694","G12295AY","G71834LX","G64078DL","10","False"
"G82515BU","Composition","1517.51252531","1923.96637734","G82985VK","G82515BU","","9","False"
"G82521OT","Saccharide","342.1162117","454.24141226","G90627TW","G85505CT","G03950MV","2","False"
